# RQ2 repair set from the re-run: 14 isolated multi-hunk sub-bugs
# (proper sub-patterns with >=2 hunks, enumerated 2026-07-14 from working/<bug>/newBugs.json;
#  cid = 1-based index in newBugs.json key order, assigned at export time)
# bug pattern
Johnzon_core_4 0011
Johnzon_core_4 1100
AaltoXml_9 011
Woodstox_6 00100110
Jcabi_log_4 100101
Jcabi_log_4 101101
Dagger_core_3 0011
Dagger_core_3 1100
Dagger_core_17 10001
Google_java_format_core_1 0111
RTree_4 110
Proj4J_6 001100
Proj4J_6 101100
Disklrucache_2 10111
# excluded: 16 single-hunk sub-bugs (= paper's Single_divided)
