bug,project,repaired_at,plausible,in_paper_tbar_set,correct
Chart_18_2,Chart,1h,yes,yes,yes
Chart_2_5,Chart,1h,yes,no,no
Chart_22_4,Chart,1h,yes,yes,no
Chart_25_3,Chart,1h,yes,yes,no
Chart_18_3,Chart,none,no,no,no
Chart_25_4,Chart,none,no,no,no
Chart_2_6,Chart,none,no,no,no
Math_12_1,Math,5h,yes,no,no
Math_18_1,Math,5h,yes,yes,no
Math_28_1,Math,5h,yes,yes,no
Math_28_2,Math,5h,yes,yes,no
Math_28_3,Math,5h,yes,yes,no
Math_106_1,Math,none,no,no,no
Math_106_2,Math,none,no,no,no
Math_21_1,Math,none,no,no,no
Math_23_1,Math,none,no,no,no
Math_31_1,Math,none,no,no,no
Math_36_1,Math,none,no,no,no
Math_36_2,Math,none,no,no,no
Math_37_1,Math,none,no,no,no
Math_37_2,Math,none,no,no,no
Math_49_1,Math,none,no,no,no
Math_51_1,Math,none,no,no,no
Math_68_1,Math,none,no,no,no
Math_83_1,Math,none,no,no,no
Math_93_1,Math,none,no,no,no
Math_66_2,Math,none,no,no,no
Mockito_13_1,Mockito,none,no,no,no
Mockito_20_1,Mockito,none,no,no,no
Time_12_1,Time,5h,yes,yes,no
Time_12_3,Time,5h,yes,yes,no
Time_12_2,Time,none,no,no,no
Time_12_4,Time,none,no,no,no
Time_13_1,Time,none,no,no,no
Time_23_1,Time,none,no,no,no
Time_26_1,Time,none,no,no,no
Time_3_1,Time,none,no,no,no
Time_3_2,Time,none,no,no,no
Time_3_3,Time,none,no,no,no
Time_3_4,Time,none,no,no,no
Time_3_5,Time,none,no,no,no
Time_8_1,Time,none,no,no,no
Time_8_2,Time,none,no,no,no
Time_9_2,Time,none,no,no,no
