bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
Time_26, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 9, 9
Time_10, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_20, INDIVISIBLE, 0, 0, 3, 3, 3, 3
Time_1, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Time_12, VALID_DIVISIBLE_BUG, 0, 4, /2/2/4/4/, /2/2/3/3/, 8, 6
Time_17, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 5, 2
Time_23, NO_DATA, NONE, NONE, NONE, NONE, 8, 8
Time_13, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
Time_9, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 6, 6
Time_8, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
Time_3, VALID_DIVISIBLE_BUG, 0, 5, /2/2/2/2/2/, /2/2/2/2/2/, 20, 20
Time_14, INDIVISIBLE, 0, 0, 2, 1, 2, 1
Time_6, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 3, 3
Time_5, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_18, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_7, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_27, INDIVISIBLE, 0, 0, 2, 2, 2, 2
Time_2, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
Time_22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
STATSTICS, No_data=1, Divisible=11, Indivisible=7, Isolated=14, Single_divided=7, Hunks_total=88, Hunks_total_ci=81
