bug_id, category, num_divided_into_single_hunk, num_divided_into_multi_hunk, hunks_multi_hunk, hunks_multi_hunk_ci, num_of_hunks, num_of_hunks_ci
26, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 9, 9
10, INDIVISIBLE, 0, 0, 2, 2, 2, 2
20, INDIVISIBLE, 0, 0, 3, 3, 3, 3
1, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
12, VALID_DIVISIBLE_BUG, 0, 4, /2/2/4/4/, /2/2/3/3/, 8, 6
17, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 5, 2
23, NO_DATA, NONE, NONE, NONE, NONE, 8, 8
13, VALID_DIVISIBLE_BUG, 0, 1, /2/, /2/, 3, 3
9, MIXED_DIVISIBLE_BUG, 1, 1, /2/, /2/, 6, 6
8, VALID_DIVISIBLE_BUG, 0, 2, /2/3/, /2/3/, 3, 3
3, VALID_DIVISIBLE_BUG, 0, 5, /2/2/2/2/2/, /2/2/2/2/2/, 20, 20
14, INDIVISIBLE, 0, 0, 2, 1, 2, 1
6, INVALID_DIVISIBLE_BUG, 2, 0, /, /, 3, 3
5, INDIVISIBLE, 0, 0, 2, 2, 2, 2
18, INDIVISIBLE, 0, 0, 2, 2, 2, 2
7, INDIVISIBLE, 0, 0, 2, 2, 2, 2
27, INDIVISIBLE, 0, 0, 2, 2, 2, 2
2, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 3, 3
22, INVALID_DIVISIBLE_BUG, 1, 0, /, /, 2, 1
STATSTICS, No_data=1, Divisible=11, Indivisible=7, Isolated=14, Single_divided=7, Hunks_total=88, Hunks_total_ci=81
